timestamp,forecast_target_timestamp,forecast_precipitation_mm,forecast_et0_mm,forecast_temperature_c,forecast_protocol
2021-01-01 00:00:00,2021-01-01 01:00:00,0.25040826444899755,0.07242833630965877,24.71403438787605,SF-20_h1_controlled_proxy
2021-01-01 01:00:00,2021-01-01 02:00:00,0.20892713961868883,0.09217733093397147,24.65063481672642,SF-20_h1_controlled_proxy
2021-01-01 02:00:00,2021-01-01 03:00:00,0.1266509738197595,0.09823687334273147,24.59130204554706,SF-20_h1_controlled_proxy
2021-01-01 03:00:00,2021-01-01 04:00:00,0.07163590724375055,0.0551995746250325,24.69606701633809,SF-20_h1_controlled_proxy
2021-01-01 04:00:00,2021-01-01 05:00:00,0.0,0.08660251827016537,25.290627547015273,SF-20_h1_controlled_proxy
2021-01-01 05:00:00,2021-01-01 06:00:00,0.0,0.0790517589749045,24.951568728531388,SF-20_h1_controlled_proxy
2021-01-01 06:00:00,2021-01-01 07:00:00,0.0,0.09237082558173522,24.808819783847373,SF-20_h1_controlled_proxy
2021-01-01 07:00:00,2021-01-01 08:00:00,0.10545369669442582,0.1255478422173172,25.421198397390352,SF-20_h1_controlled_proxy
2021-01-01 08:00:00,2021-01-01 09:00:00,0.0,0.1994895034766247,25.50083762163395,SF-20_h1_controlled_proxy
2021-01-01 09:00:00,2021-01-01 10:00:00,0.0,0.36835995542354166,25.43808563250658,SF-20_h1_controlled_proxy
2021-01-01 10:00:00,2021-01-01 11:00:00,0.0,0.25194982368056784,25.572354005560534,SF-20_h1_controlled_proxy
2021-01-01 11:00:00,2021-01-01 12:00:00,0.11168256195205349,0.2958286543219701,25.463272773452285,SF-20_h1_controlled_proxy
2021-01-01 12:00:00,2021-01-01 13:00:00,0.10769567597770975,0.22077547524899835,25.430048836675212,SF-20_h1_controlled_proxy
2021-01-01 13:00:00,2021-01-01 14:00:00,0.10898029749061017,0.2930639686631078,25.619829257856747,SF-20_h1_controlled_proxy
2021-01-01 14:00:00,2021-01-01 15:00:00,0.10170843551504545,0.24867619968820304,25.565979469042006,SF-20_h1_controlled_proxy
2021-01-01 15:00:00,2021-01-01 16:00:00,0.1266533197834848,0.15770160484420723,25.11514159967471,SF-20_h1_controlled_proxy
2021-01-01 16:00:00,2021-01-01 17:00:00,0.24613974029925834,0.0741256771113478,24.9613918113678,SF-20_h1_controlled_proxy
2021-01-01 17:00:00,2021-01-01 18:00:00,0.36155004319065553,0.073773257266163,24.812414319392836,SF-20_h1_controlled_proxy
2021-01-01 18:00:00,2021-01-01 19:00:00,4.517634663010143,0.06290906637758237,24.262799010865994,SF-20_h1_controlled_proxy
2021-01-01 19:00:00,2021-01-01 20:00:00,0.7979042679827149,0.07486453632197643,25.33548965838827,SF-20_h1_controlled_proxy
2021-01-01 20:00:00,2021-01-01 21:00:00,0.3712364466455407,0.08226260977157339,25.387743893144773,SF-20_h1_controlled_proxy
2021-01-01 21:00:00,2021-01-01 22:00:00,0.17946204402647817,0.043702345773048976,24.892671316985236,SF-20_h1_controlled_proxy
2021-01-01 22:00:00,2021-01-01 23:00:00,0.059835034755996254,0.07547524621459882,24.74854072551982,SF-20_h1_controlled_proxy
2021-01-01 23:00:00,2021-01-02 00:00:00,0.20254051878476642,0.06112827995957313,24.967351534375876,SF-20_h1_controlled_proxy
2021-01-02 00:00:00,2021-01-02 01:00:00,0.7312023158911565,0.05664029973980647,25.32758414723727,SF-20_h1_controlled_proxy
2021-01-02 01:00:00,2021-01-02 02:00:00,0.7782696723444285,0.08087262504523234,25.51045435826979,SF-20_h1_controlled_proxy
2021-01-02 02:00:00,2021-01-02 03:00:00,0.2629925668754977,0.07556645479941607,25.01349685668149,SF-20_h1_controlled_proxy
2021-01-02 03:00:00,2021-01-02 04:00:00,0.4937495232557049,0.05243216647830005,24.855736110681747,SF-20_h1_controlled_proxy
2021-01-02 04:00:00,2021-01-02 05:00:00,0.22908878227964363,0.054097070968691235,25.077466348849367,SF-20_h1_controlled_proxy
2021-01-02 05:00:00,2021-01-02 06:00:00,0.3736202076394783,0.049255898781362516,25.270939114697125,SF-20_h1_controlled_proxy
2021-01-02 06:00:00,2021-01-02 07:00:00,0.1678959098646836,0.05534739104175929,24.600112097080945,SF-20_h1_controlled_proxy
